"","S","I","R","t"
"1",498,2,0,0.18315352148032
"2",497,3,0,0.362525887467386
"3",496,4,0,0.418845318530222
"4",496,3,1,1.64587591852284
"5",495,4,1,2.47600988127331
"6",495,3,2,3.54295697790121
"7",495,2,3,5.4076018973827
"8",494,3,3,6.61696011358463
"9",494,2,4,8.01837425333511
"10",493,3,4,8.3146053399942
"11",492,4,4,8.33110820805111
"12",491,5,4,8.37146493366502
"13",490,6,4,8.40307111877229
"14",489,7,4,8.41950576243446
"15",488,8,4,8.42838052753073
"16",487,9,4,8.46097232547685
"17",486,10,4,8.47207611166569
"18",485,11,4,8.47628430339531
"19",484,12,4,8.49763232574398
"20",483,13,4,8.50368258416669
"21",482,14,4,8.51951785685307
"22",481,15,4,8.54038473624807
"23",480,16,4,8.56442601463518
"24",479,17,4,8.57076891829863
"25",479,16,5,8.6374979551356
"26",478,17,5,8.66900152439507
"27",477,18,5,8.67848914284016
"28",476,19,5,8.68770525439429
"29",475,20,5,8.68817456528127
"30",474,21,5,8.69526796553168
"31",473,22,5,8.6966213658569
"32",472,23,5,8.71789889560751
"33",471,24,5,8.71962798532484
"34",470,25,5,8.72175563269939
"35",469,26,5,8.72915248179355
"36",468,27,5,8.72983719321582
"37",467,28,5,8.7485234738096
"38",466,29,5,8.78176574613638
"39",465,30,5,8.79215469293549
"40",464,31,5,8.79716132353436
"41",463,32,5,8.8044217713763
"42",462,33,5,8.81290375248332
"43",461,34,5,8.82710739697941
"44",460,35,5,8.83243432659234
"45",459,36,5,8.83506812288428
"46",458,37,5,8.85449963152438
"47",457,38,5,8.87205888668928
"48",456,39,5,8.89188342427358
"49",455,40,5,8.8953219575552
"50",454,41,5,8.89610938995495
"51",454,40,6,8.93848646510575
"52",454,39,7,8.98565751358322
"53",453,40,7,9.02224821089466
"54",452,41,7,9.04301010489679
"55",451,42,7,9.04529986827665
"56",450,43,7,9.05596402764455
"57",449,44,7,9.06689214111756
"58",448,45,7,9.06776883934813
"59",447,46,7,9.07464470259836
"60",446,47,7,9.08371056318377
"61",446,46,8,9.12358526285733
"62",445,47,8,9.14456832894
"63",445,46,9,9.18811131941488
"64",444,47,9,9.18819885867507
"65",443,48,9,9.19001213323214
"66",442,49,9,9.20924401700053
"67",441,50,9,9.21111456701196
"68",440,51,9,9.21173073542372
"69",439,52,9,9.21581427566169
"70",438,53,9,9.2299635859161
"71",437,54,9,9.2490567994363
"72",436,55,9,9.25289969183407
"73",435,56,9,9.27214606455831
"74",434,57,9,9.29804706215113
"75",433,58,9,9.31942095044474
"76",432,59,9,9.34479145747539
"77",431,60,9,9.34737412289384
"78",430,61,9,9.35825095802808
"79",429,62,9,9.36783353486703
"80",428,63,9,9.38089214534294
"81",427,64,9,9.39989555710534
"82",426,65,9,9.42263950021469
"83",426,64,10,9.46234413930899
"84",425,65,10,9.47425099369525
"85",424,66,10,9.49370353393521
"86",423,67,10,9.50939583015208
"87",422,68,10,9.52739432802987
"88",421,69,10,9.5402948607522
"89",421,68,11,9.57535656011718
"90",420,69,11,9.58736153210962
"91",419,70,11,9.59296205496895
"92",418,71,11,9.59607281154236
"93",417,72,11,9.59702151073576
"94",417,71,12,9.67258352050341
"95",417,70,13,9.70003201584594
"96",416,71,13,9.70255408612266
"97",415,72,13,9.71781970504335
"98",414,73,13,9.74187008754138
"99",413,74,13,9.75308299305507
"100",412,75,13,9.75689247261804
"101",411,76,13,9.76117684974416
"102",410,77,13,9.76409565542833
"103",410,76,14,9.80361921412254
"104",409,77,14,9.80452938051673
"105",408,78,14,9.80644122389895
"106",407,79,14,9.81931444299473
"107",406,80,14,9.83981645485038
"108",406,79,15,9.88015961609295
"109",405,80,15,9.89974173701439
"110",404,81,15,9.9014280603509
"111",403,82,15,9.90264763567148
"112",402,83,15,9.9058789783663
"113",401,84,15,9.91500695231857
"114",400,85,15,9.92917064674751
"115",399,86,15,9.94102854636979
"116",398,87,15,9.95008463875298
"117",397,88,15,9.95808004518211
"118",396,89,15,9.95964272988288
"119",396,88,16,9.99051157316001
"120",395,89,16,9.99693234568577
"121",394,90,16,10.0131051452515
"122",393,91,16,10.0160015628239
"123",392,92,16,10.0162313300932
"124",391,93,16,10.0359848133661
"125",391,92,17,10.0718896619936
"126",390,93,17,10.0868625923342
"127",389,94,17,10.098262013692
"128",388,95,17,10.1073819883946
"129",387,96,17,10.1084684788433
"130",386,97,17,10.1168259033303
"131",385,98,17,10.1172863264352
"132",384,99,17,10.1382220606112
"133",383,100,17,10.1425785519758
"134",383,99,18,10.1757476143782
"135",383,98,19,10.1983423940623
"136",382,99,19,10.2126904274966
"137",381,100,19,10.2229047705035
"138",381,99,20,10.251112253877
"139",380,100,20,10.2616498796877
"140",379,101,20,10.269525753045
"141",379,100,21,10.2969901519838
"142",379,99,22,10.3253099463446
"143",378,100,22,10.3312837716199
"144",377,101,22,10.3515940435206
"145",376,102,22,10.3536279727858
"146",375,103,22,10.3585910464021
"147",374,104,22,10.3614361010863
"148",373,105,22,10.3628976560684
"149",373,104,23,10.3850629270377
"150",372,105,23,10.3862878168902
"151",371,106,23,10.405872472137
"152",370,107,23,10.4114366185131
"153",370,106,24,10.4331835233904
"154",370,105,25,10.4757694720202
"155",370,104,26,10.4990091723296
"156",369,105,26,10.5002551638405
"157",368,106,26,10.5098440876597
"158",367,107,26,10.5282759604672
"159",366,108,26,10.5345845652178
"160",366,107,27,10.5619449776436
"161",365,108,27,10.5623290505354
"162",365,107,28,10.5938040733933
"163",364,108,28,10.6105581104794
"164",363,109,28,10.6126899654213
"165",362,110,28,10.6238068473448
"166",361,111,28,10.6297736517907
"167",361,110,29,10.6635065602296
"168",360,111,29,10.6650305375788
"169",360,110,30,10.697652458658
"170",360,109,31,10.731593730818
"171",360,108,32,10.7591128857303
"172",359,109,32,10.7601523386526
"173",358,110,32,10.7782876754454
"174",357,111,32,10.7895503916376
"175",356,112,32,10.796334267758
"176",355,113,32,10.8010226565283
"177",354,114,32,10.8199656138021
"178",354,113,33,10.8430970333001
"179",353,114,33,10.8440359953615
"180",352,115,33,10.8456277382518
"181",351,116,33,10.8470491992796
"182",350,117,33,10.8481620262763
"183",349,118,33,10.8601964119825
"184",348,119,33,10.8657962459669
"185",347,120,33,10.8738937801834
"186",347,119,34,10.8975522827084
"187",346,120,34,10.8991197797981
"188",345,121,34,10.9066173444496
"189",344,122,34,10.9070686032253
"190",343,123,34,10.9092976043902
"191",342,124,34,10.912687118427
"192",342,123,35,10.9371489982475
"193",341,124,35,10.9520514225694
"194",341,123,36,10.9777321582625
"195",340,124,36,10.9823811380931
"196",339,125,36,10.9835330317472
"197",338,126,36,10.9959339393727
"198",337,127,36,11.0134792493987
"199",336,128,36,11.0221986084428
"200",335,129,36,11.024931308242
"201",335,128,37,11.0470917021351
"202",334,129,37,11.0566152600766
"203",334,128,38,11.0773991743626
"204",334,127,39,11.0991370376327
"205",333,128,39,11.1106059668853
"206",332,129,39,11.1236618393018
"207",331,130,39,11.1260850237858
"208",330,131,39,11.1401238646946
"209",330,130,40,11.15918645185
"210",330,129,41,11.1853207006711
"211",329,130,41,11.1915399134641
"212",329,129,42,11.2641256268519
"213",328,130,42,11.2667622446426
"214",327,131,42,11.2706729576614
"215",326,132,42,11.2734872359149
"216",325,133,42,11.2745915326017
"217",325,132,43,11.3027030348052
"218",325,131,44,11.321536886983
"219",324,132,44,11.330742418066
"220",323,133,44,11.3367929884252
"221",322,134,44,11.3436440425224
"222",322,133,45,11.3632217394621
"223",321,134,45,11.3744929648532
"224",321,133,46,11.407972760485
"225",321,132,47,11.4258379067042
"226",320,133,47,11.4391331976896
