"","S","I","R","t"
"1",497,2,0,0.0120822418366111
"2",496,3,0,0.252333306665146
"3",495,4,0,0.303512639684845
"4",494,5,0,0.351287968736302
"5",493,6,0,0.399254682216955
"6",492,7,0,0.460174321461671
"7",491,8,0,0.564729270471097
"8",490,9,0,0.686411645198876
"9",489,10,0,0.745672326937772
"10",488,11,0,0.75766514818847
"11",487,12,0,0.83646230367108
"12",486,13,0,0.862247747193473
"13",485,14,0,0.884668230881717
"14",484,15,0,0.949868369796736
"15",483,16,0,0.964642755659167
"16",482,17,0,0.980331045840881
"17",481,18,0,1.06735323414654
"18",480,19,0,1.0685254107414
"19",479,20,0,1.07024988870409
"20",478,21,0,1.08741393083854
"21",477,22,0,1.14674141049743
"22",476,23,0,1.18508177499412
"23",475,24,0,1.18924333731682
"24",474,25,0,1.21890061918035
"25",473,26,0,1.23039941939799
"26",472,27,0,1.26526970773144
"27",472,26,1,1.32734641358136
"28",471,27,1,1.38179990720782
"29",470,28,1,1.40284503444479
"30",470,27,2,1.46563358240875
"31",469,28,2,1.50614747546918
"32",468,29,2,1.54080849408384
"33",467,30,2,1.54168804772413
"34",466,31,2,1.54568665102991
"35",465,32,2,1.55400526420912
"36",464,33,2,1.56009338644562
"37",463,34,2,1.60529974965667
"38",463,33,3,1.66135765940518
"39",462,34,3,1.66443510263826
"40",462,33,4,1.74230468774503
"41",461,34,4,1.75863701271415
"42",460,35,4,1.78309799897319
"43",459,36,4,1.79292110490279
"44",458,37,4,1.82351421353232
"45",457,38,4,1.83585855715574
"46",456,39,4,1.84988405726613
"47",455,40,4,1.87927403897123
"48",454,41,4,1.91829995779408
"49",454,40,5,1.9625229808146
"50",453,41,5,1.97022890715838
"51",452,42,5,1.9724998462407
"52",451,43,5,2.03809346708607
"53",450,44,5,2.03828505963799
"54",449,45,5,2.06680015471228
"55",448,46,5,2.07403392731638
"56",447,47,5,2.09041867849939
"57",446,48,5,2.11016427920637
"58",445,49,5,2.12273245294617
"59",444,50,5,2.15118235744668
"60",444,49,6,2.204963709622
"61",443,50,6,2.21028051386277
"62",443,49,7,2.26956192191604
"63",442,50,7,2.29459831654244
"64",441,51,7,2.29937529559607
"65",440,52,7,2.30739252178579
"66",440,51,8,2.37159632500394
"67",439,52,8,2.37382297711881
"68",438,53,8,2.39076717452663
"69",437,54,8,2.41306763048699
"70",436,55,8,2.43844135191923
"71",436,54,9,2.50540588130883
"72",435,55,9,2.52138913760278
"73",434,56,9,2.53373609916838
"74",433,57,9,2.55707251372234
"75",432,58,9,2.56811642832177
"76",432,57,10,2.63442260989146
"77",431,58,10,2.65059888902601
"78",431,57,11,2.69073562818828
"79",430,58,11,2.69941959352991
"80",429,59,11,2.70871657741074
"81",428,60,11,2.74062976137638
"82",428,59,12,2.87062019530981
"83",427,60,12,2.87901629773029
"84",426,61,12,2.90993686580645
"85",426,60,13,2.9992971107658
"86",426,59,14,3.05217033895886
"87",425,60,14,3.08190318651174
"88",425,59,15,3.23478084472655
"89",424,60,15,3.26318360997241
"90",424,59,16,3.30693493262548
"91",424,58,17,3.40962612730962
"92",423,59,17,3.41637524627468
"93",423,58,18,3.4598206610261
"94",422,59,18,3.46231042673404
"95",421,60,18,3.48073892869498
"96",420,61,18,3.48705921879345
"97",419,62,18,3.50048699915635
"98",418,63,18,3.5126539126364
"99",417,64,18,3.54061583558981
"100",416,65,18,3.5632966340975
"101",415,66,18,3.58145067114516
"102",414,67,18,3.59809267783737
"103",414,66,19,3.62882403618768
"104",413,67,19,3.64737472370707
"105",412,68,19,3.65085284888261
"106",411,69,19,3.65569419378051
"107",410,70,19,3.65991831775689
"108",409,71,19,3.6888054242166
"109",408,72,19,3.69351958174791
"110",407,73,19,3.7011782219449
"111",406,74,19,3.728334095506
"112",405,75,19,3.7437192913635
"113",405,74,20,3.85722100378618
"114",405,73,21,3.889488727087
"115",404,74,21,3.89581399384545
"116",404,73,22,3.99257624050854
"117",403,74,22,4.01198092845223
"118",402,75,22,4.01925357969542
"119",401,76,22,4.04199209035636
"120",400,77,22,4.04218474972209
"121",399,78,22,4.04841036640693
"122",399,77,23,4.11376253388193
"123",398,78,23,4.12614389440145
"124",398,77,24,4.16898948365983
"125",398,76,25,4.26489783540225
"126",397,77,25,4.2886535113339
"127",397,76,26,4.35260142795474
"128",396,77,26,4.37755442616378
"129",395,78,26,4.38916814985956
"130",395,77,27,4.44219503556137
"131",394,78,27,4.44978231898875
"132",393,79,27,4.47455096980591
"133",393,78,28,4.51807038985496
"134",392,79,28,4.53792585870265
"135",392,78,29,4.56556094192918
"136",392,77,30,4.60405616132152
"137",391,78,30,4.60905782541457
