"","S","I","R","t"
"1",498,2,0,0.689033574891491
"2",497,3,0,0.769585425797439
"3",496,4,0,0.848633956988226
"4",495,5,0,1.15810175147922
"5",494,6,0,1.40833202389333
"6",493,7,0,1.47081977504874
"7",493,6,1,1.82986984411658
"8",492,7,1,1.86803197242305
"9",491,8,1,1.95784922357974
"10",490,9,1,2.23332869638476
"11",489,10,1,2.33857467112421
"12",488,11,1,2.43320710733792
"13",487,12,1,2.4747217991312
"14",486,13,1,2.51413464312586
"15",486,12,2,2.76960343455736
"16",485,13,2,2.77040471027015
"17",484,14,2,2.90655417074223
"18",483,15,2,2.91215851292261
"19",482,16,2,2.94700217270432
"20",481,17,2,2.95794576269967
"21",480,18,2,2.9807770573513
"22",480,17,3,3.42980977656344
"23",479,18,3,3.4744936984799
"24",478,19,3,3.52992295896698
"25",478,18,4,3.70519202832131
"26",478,17,5,3.85233321623336
"27",478,16,6,3.99817220286344
"28",478,15,7,4.25137458659549
"29",477,16,7,4.26916802590874
"30",476,17,7,4.29876997724036
"31",476,16,8,4.49496080171862
"32",476,15,9,4.71305441634641
"33",475,16,9,4.75250594601477
"34",475,15,10,4.93371832115734
"35",474,16,10,4.94842782330671
"36",473,17,10,5.07601121328409
"37",472,18,10,5.10554481423232
"38",471,19,10,5.11777356999454
"39",471,18,11,5.29243321915467
"40",470,19,11,5.32545588286341
"41",470,18,12,5.47167991131429
"42",469,19,12,5.55475180018242
"43",468,20,12,5.61778706786081
"44",468,19,13,5.82242803778156
"45",467,20,13,5.87771576384001
"46",467,19,14,6.15773322420164
"47",466,20,14,6.23849083059762
"48",465,21,14,6.32963741725345
"49",465,20,15,6.46607990190965
"50",464,21,15,6.54899920315128
"51",464,20,16,6.6856716480941
"52",464,19,17,6.93660265333463
"53",464,18,18,7.41257009993917
"54",463,19,18,7.525958140592
"55",462,20,18,7.55636752142711
"56",462,19,19,7.80707337400939
"57",461,20,19,7.86544722042595
"58",461,19,20,8.36836538640913
"59",460,20,20,8.3833524153461
"60",459,21,20,8.45746463433679
"61",458,22,20,8.47549325444037
"62",457,23,20,8.53424670328279
"63",457,22,21,8.62261264093041
"64",457,21,22,8.76340248301716
"65",456,22,22,8.81454878526498
"66",455,23,22,8.846293168014
"67",455,22,23,8.94366776520064
"68",454,23,23,8.9743595453215
"69",454,22,24,9.12506981617826
"70",453,23,24,9.15706734157872
"71",453,22,25,9.52336114456672
"72",452,23,25,9.57542620649296
"73",451,24,25,9.62189460250794
"74",451,23,26,9.74069825796582
"75",451,22,27,10.3010104133455
"76",451,21,28,10.5420993069804
"77",451,20,29,10.7269997401561
"78",450,21,29,10.7743245791106
"79",449,22,29,10.8196382233197
"80",449,21,30,10.9372857236298
"81",449,20,31,11.2763780523575
"82",448,21,31,11.2952977143334
"83",448,20,32,11.5123572225608
"84",447,21,32,11.5560835658063
"85",446,22,32,11.6150287838676
"86",445,23,32,11.6334055500463
"87",444,24,32,11.687619708891
"88",443,25,32,11.758976544448
"89",443,24,33,12.3427848330794
"90",442,25,33,12.3963087397498
"91",441,26,33,12.4252039455152
"92",440,27,33,12.4826076585186
"93",439,28,33,12.5243721344932
"94",439,27,34,12.6819314869489
"95",438,28,34,12.731474493947
"96",438,27,35,12.8615972909925
"97",438,26,36,12.9851521132652
"98",437,27,36,13.0791539111356
"99",436,28,36,13.1314818625853
"100",435,29,36,13.1778026154628
"101",434,30,36,13.2321135686526
"102",433,31,36,13.3005486779546
"103",433,30,37,13.4043423026999
"104",433,29,38,13.5301919919874
"105",433,28,39,13.7889779246059
"106",433,27,40,14.3729599389328
"107",432,28,40,14.4233301878123
"108",431,29,40,14.4418210116459
"109",430,30,40,14.4720067226365
"110",430,29,41,14.8639891704995
"111",430,28,42,14.9844673030548
"112",429,29,42,15.0365444071319
"113",428,30,42,15.0483857787147
"114",427,31,42,15.1094223903276
"115",426,32,42,15.1161952945497
"116",425,33,42,15.1666735878048
"117",425,32,43,15.4343423170249
"118",424,33,43,15.4503936453761
"119",424,32,44,15.5165454164312
"120",423,33,44,15.5255599441082
"121",422,34,44,15.5454383305339
"122",421,35,44,15.5481933259588
"123",421,34,45,15.7504668685819
"124",421,33,46,15.8525901584054
"125",421,32,47,16.2401674345584
"126",421,31,48,16.4292337209359
"127",420,32,48,16.4423053587969
"128",420,31,49,16.6311733087092
"129",419,32,49,16.6719305385172
"130",419,31,50,16.9332152144738
"131",418,32,50,16.9382571494322
"132",417,33,50,16.9974914051988
"133",416,34,50,17.0534471637767
"134",415,35,50,17.1004116116481
"135",415,34,51,17.1701051817924
"136",415,33,52,17.4034683466386
"137",414,34,52,17.4099731821067
"138",413,35,52,17.4636148669542
"139",412,36,52,17.4742682618873
"140",411,37,52,17.5073712043064
"141",410,38,52,17.5152343003239
"142",409,39,52,17.5380729892628
"143",409,38,53,17.6375623955357
"144",408,39,53,17.669917153273
"145",408,38,54,17.7455660910448
"146",407,39,54,17.7583934780948
"147",406,40,54,17.7673546543203
"148",405,41,54,17.7793704896417
"149",404,42,54,17.7910304473233
"150",403,43,54,17.7957096637444
"151",402,44,54,17.8100291725491
"152",401,45,54,17.8469661680117
"153",400,46,54,17.8478431968774
"154",399,47,54,17.8535133723594
"155",399,46,55,17.9013435222488
"156",399,45,56,18.2156504122318
"157",398,46,56,18.2434144217222
"158",397,47,56,18.2689240314504
"159",396,48,56,18.2738906820637
"160",395,49,56,18.3136806662479
"161",394,50,56,18.3371654478771
"162",393,51,56,18.3573301305488
"163",392,52,56,18.3597333772584
"164",391,53,56,18.3638484890978
"165",391,52,57,18.4329452045355
"166",391,51,58,18.5913658086439
"167",391,50,59,18.6512192063932
"168",390,51,59,18.672553590617
"169",389,52,59,18.6800914674649
"170",389,51,60,18.7189316094721
"171",388,52,60,18.7581831584242
"172",388,51,61,18.8133940951365
"173",387,52,61,18.828595330718
"174",386,53,61,18.8476269063596
"175",386,52,62,18.9315780339577
"176",386,51,63,19.1083613910731
"177",385,52,63,19.118881225148
"178",384,53,63,19.1567492580125
"179",384,52,64,19.2924149780665
"180",384,51,65,19.4024357091933
"181",383,52,65,19.4155786479695
"182",382,53,65,19.4545918540523
"183",381,54,65,19.4786006777031
"184",381,53,66,19.6640224105542
"185",380,54,66,19.6831556501406
"186",380,53,67,19.7485574897698
"187",380,52,68,19.8270051672826
"188",380,51,69,19.8704043181487
"189",379,52,69,19.9109465406308
"190",378,53,69,19.917831774713
"191",377,54,69,19.9345470396277
"192",376,55,69,19.937711871277
"193",376,54,70,19.9977900967146
"194",376,53,71,20.3300570665982
"195",376,52,72,20.508002565295
"196",375,53,72,20.5157026255869
"197",375,52,73,20.7077165218175
"198",374,53,73,20.7246138594356
"199",374,52,74,20.7690961812654
"200",374,51,75,20.9227886173206
"201",373,52,75,20.9278958643118
"202",372,53,75,20.9322047879411
"203",371,54,75,20.9714297116005
"204",371,53,76,21.1335373990077
"205",370,54,76,21.1662462214476
"206",369,55,76,21.1791907820363
"207",368,56,76,21.200360466084
"208",367,57,76,21.2135264331241
"209",367,56,77,21.2866887722236
"210",367,55,78,21.3435810739389
"211",367,54,79,21.3852859979876
"212",366,55,79,21.4125091706044
"213",365,56,79,21.4287837182405
"214",365,55,80,21.5379491460449
"215",364,56,80,21.5445012331178
"216",364,55,81,21.6572751090299
"217",363,56,81,21.678389830733
"218",362,57,81,21.6882842827049
"219",362,56,82,21.7462979465401
"220",361,57,82,21.7802619534776
"221",360,58,82,21.8141824398685
"222",359,59,82,21.8439735957397
"223",359,58,83,21.8948108873762
"224",359,57,84,21.9627715522459
"225",359,56,85,22.0584080477855
"226",358,57,85,22.0641583505784
"227",357,58,85,22.0771793938182
"228",356,59,85,22.0984745086939
"229",356,58,86,22.205662115807
"230",356,57,87,22.2620563980839
"231",355,58,87,22.2921835070797
"232",355,57,88,22.3295714295335
"233",354,58,88,22.3436072826409
"234",353,59,88,22.3632458375142
"235",353,58,89,22.4046998044498
"236",353,57,90,22.5347353033112
"237",353,56,91,22.7319076956688
"238",352,57,91,22.7369839649324
"239",352,56,92,22.7774587442754
"240",351,57,92,22.8039090376624
"241",350,58,92,22.8140022150098
"242",350,57,93,22.8982354366672
"243",350,56,94,22.9978208028208
"244",349,57,94,23.0211604670845
"245",349,56,95,23.104182313387
"246",349,55,96,23.1484780758325
"247",348,56,96,23.154709244937
"248",347,57,96,23.1831322511251
"249",346,58,96,23.1995811708406
"250",346,57,97,23.3243446464047
"251",345,58,97,23.3471561323236
"252",345,57,98,23.4890682637312
"253",345,56,99,23.539684987887
"254",345,55,100,23.6530222162411
"255",344,56,100,23.6694636980281
"256",343,57,100,23.6807642853331
"257",343,56,101,23.733289118402
"258",343,55,102,23.7744074913161
"259",343,54,103,23.868252021292
"260",343,53,104,23.9068754970109
"261",343,52,105,24.0973617896407
"262",342,53,105,24.098488435014
"263",342,52,106,24.3416715862346
"264",342,51,107,24.4061880729875
"265",341,52,107,24.4089295130338
"266",341,51,108,24.584008005622
"267",341,50,109,24.6204738590823
"268",341,49,110,24.6563596023402
"269",340,50,110,24.6788039911112
"270",339,51,110,24.702694765621
"271",338,52,110,24.715062233236
"272",338,51,111,24.7897759011835
"273",337,52,111,24.7916520057168
"274",337,51,112,24.8305593189414
"275",336,52,112,24.8543248302686
"276",336,51,113,25.2703569350753
"277",336,50,114,25.4410484107508
"278",336,49,115,25.5453265153825
"279",336,48,116,25.6425093865916
"280",335,49,116,25.6692284765238
"281",335,48,117,25.7426506766186
"282",334,49,117,25.7591033345187
"283",334,48,118,25.8182606023752
"284",333,49,118,25.8404190861822
"285",333,48,119,25.8897055521854
"286",333,47,120,25.9518719542534
"287",333,46,121,26.0849124260362
"288",332,47,121,26.110382105105
"289",332,46,122,26.1901788670361
"290",331,47,122,26.1913290008897
"291",331,46,123,26.2594949096272
"292",330,47,123,26.2673479428984
"293",330,46,124,26.3282092009731
"294",329,47,124,26.352672328297
"295",329,46,125,26.5889045395239
"296",329,45,126,26.8853043030642
"297",329,44,127,27.1246310630301
"298",328,45,127,27.1398087948348
"299",328,44,128,27.617687216483
"300",328,43,129,27.8617403063366
"301",328,42,130,27.9388843416319
"302",328,41,131,28.1615889880538
"303",328,40,132,28.424548501734
"304",328,39,133,28.9666980441841
"305",328,38,134,29.0985876859354
"306",328,37,135,29.1559676895228
"307",328,36,136,29.1824494115687
"308",328,35,137,29.2853119893105
"309",328,34,138,29.3542588417642
"310",328,33,139,29.4205924175337
"311",327,34,139,29.4398970256476
"312",327,33,140,29.5859601406926
"313",327,32,141,29.7175858666333
"314",327,31,142,29.845417984564
"315",327,30,143,30.3854018060927
"316",327,29,144,30.5093172995484
"317",326,30,144,30.5236792604305
"318",326,29,145,30.6568505163035
"319",326,28,146,30.844077317126
"320",326,27,147,30.9046705212502
"321",326,26,148,31.139242986398
"322",325,27,148,31.1767389359139
"323",324,28,148,31.2064918743699
"324",323,29,148,31.2735841507139
"325",322,30,148,31.3032089166504
"326",322,29,149,31.4608827715974
"327",321,30,149,31.5040105646787
"328",320,31,149,31.5043056745609
"329",320,30,150,31.6041463302055
"330",320,29,151,31.7065764198189
"331",320,28,152,31.7965504428098
"332",319,29,152,31.830849131256
"333",319,28,153,32.2459568710216
"334",318,29,153,32.2800987339021
"335",318,28,154,32.4657960661358
"336",317,29,154,32.4807048697472
"337",317,28,155,32.7564182476195
"338",316,29,155,32.808871282544
"339",316,28,156,32.9180383453743
"340",315,29,156,32.9452448996292
"341",315,28,157,33.3229841323846
"342",315,27,158,33.4528279407425
"343",315,26,159,33.5376320348815
"344",315,25,160,33.6671892512985
"345",314,26,160,33.6872883739885
"346",314,25,161,33.8080927018803
"347",314,24,162,34.2037618782906
"348",314,23,163,34.3360962406132
"349",313,24,163,34.364099279213
"350",313,23,164,35.65064255919
"351",312,24,164,35.6674766980151
"352",312,23,165,36.6752569355273
"353",312,22,166,36.9377038743522
"354",312,21,167,37.3423040529307
"355",312,20,168,37.872862841907
"356",312,19,169,38.1850268542011
"357",312,18,170,38.2881535539489
"358",312,17,171,38.347757506538
"359",312,16,172,38.4441438937037
"360",311,17,172,38.4736251027126
"361",311,16,173,38.6112022602065
"362",311,15,174,38.7658275639866
"363",311,14,175,38.8289559879263
"364",311,13,176,39.1724311220727
"365",311,12,177,41.5230731513505
"366",311,11,178,42.6257346983718
"367",311,10,179,43.4276733469987
"368",311,9,180,43.4612466213803
"369",311,8,181,43.9793795657376
"370",311,7,182,44.9386343414255
"371",311,6,183,46.6014605458425
"372",311,5,184,48.5124168673865
"373",311,4,185,49.9423603308259
"374",311,3,186,55.2405331463473
"375",311,2,187,57.2134410387671
"376",311,1,188,60.390459877213
"377",311,0,189,66.9832885759573
